[(1, 2, 0, 0, 0, 1), 0.02765488624572754, 'Switches:', 68, 'NO:', 27, 'SO:', 37, 'PLT', 0, 'PTRN', 0, 'RW', 2]
[(1, 2, 0, 0, 0, 2), 0.9737720489501953, 'Switches:', 2291, 'NO:', 523, 'SO:', 1392, 'PLT', 0, 'PTRN', 0, 'RW', 188]
[(1, 2, 0, 0, 0, 3), 0.5501449108123779, 'Switches:', 1311, 'NO:', 355, 'SO:', 708, 'PLT', 0, 'PTRN', 0, 'RW', 124]
[(1, 2, 0, 0, 0, 4), 0.37441515922546387, 'Switches:', 1044, 'NO:', 269, 'SO:', 591, 'PLT', 0, 'PTRN', 0, 'RW', 92]
[(1, 2, 0, 0, 0, 5), 0.5272457599639893, 'Switches:', 1338, 'NO:', 334, 'SO:', 766, 'PLT', 0, 'PTRN', 0, 'RW', 119]
[(1, 2, 0, 0, 0, 6), 1.0847821235656738, 'Switches:', 3038, 'NO:', 691, 'SO:', 1855, 'PLT', 0, 'PTRN', 0, 'RW', 246]
[(1, 2, 0, 0, 0, 7), 0.41215014457702637, 'Switches:', 996, 'NO:', 260, 'SO:', 556, 'PLT', 0, 'PTRN', 0, 'RW', 90]
[(1, 2, 0, 0, 0, 8), 1.3544559478759766, 'Switches:', 3474, 'NO:', 837, 'SO:', 2053, 'PLT', 0, 'PTRN', 0, 'RW', 292]
[(1, 2, 0, 0, 0, 9), 0.771169900894165, 'Switches:', 2205, 'NO:', 502, 'SO:', 1351, 'PLT', 0, 'PTRN', 0, 'RW', 176]
[(1, 2, 0, 0, 0, 10), 0.7654049396514893, 'Switches:', 2027, 'NO:', 488, 'SO:', 1201, 'PLT', 0, 'PTRN', 0, 'RW', 169]
[(1, 2, 0, 0, 1, 1), 2.8609280586242676, 'Switches:', 7749, 'NO:', 1711, 'SO:', 4808, 'PLT', 0, 'PTRN', 0, 'RW', 615]
[(1, 2, 0, 0, 1, 2), 1.4262478351593018, 'Switches:', 3823, 'NO:', 823, 'SO:', 2394, 'PLT', 0, 'PTRN', 0, 'RW', 303]
[(1, 2, 0, 0, 1, 3), 2.4045681953430176, 'Switches:', 6407, 'NO:', 1427, 'SO:', 3944, 'PLT', 0, 'PTRN', 0, 'RW', 518]
[(1, 2, 0, 0, 1, 4), 0.8263890743255615, 'Switches:', 2322, 'NO:', 527, 'SO:', 1429, 'PLT', 0, 'PTRN', 0, 'RW', 183]
[(1, 2, 0, 0, 1, 5), 0.31705498695373535, 'Switches:', 883, 'NO:', 213, 'SO:', 532, 'PLT', 0, 'PTRN', 0, 'RW', 69]
[(1, 2, 0, 0, 1, 6), 9.517657995223999, 'Switches:', 26167, 'NO:', 5591, 'SO:', 16374, 'PLT', 0, 'PTRN', 0, 'RW', 2101]
[(1, 2, 0, 0, 1, 7), 3.671355962753296, 'Switches:', 10079, 'NO:', 2151, 'SO:', 6368, 'PLT', 0, 'PTRN', 0, 'RW', 780]
[(1, 2, 0, 0, 1, 8), 4.546133995056152, 'Switches:', 12130, 'NO:', 2669, 'SO:', 7523, 'PLT', 0, 'PTRN', 0, 'RW', 969]
[(1, 2, 0, 0, 1, 9), 5.218281984329224, 'Switches:', 13875, 'NO:', 3087, 'SO:', 8546, 'PLT', 0, 'PTRN', 0, 'RW', 1121]
[(1, 2, 0, 0, 1, 10), 5.618985176086426, 'Switches:', 14131, 'NO:', 3056, 'SO:', 8817, 'PLT', 0, 'PTRN', 0, 'RW', 1129]
[(1, 2, 0, 0, 3, 1), 8.82304573059082, 'Switches:', 20344, 'NO:', 4440, 'SO:', 12574, 'PLT', 0, 'PTRN', 0, 'RW', 1665]
[(1, 2, 0, 0, 3, 2), 12.075870990753174, 'Switches:', 29978, 'NO:', 6376, 'SO:', 18744, 'PLT', 0, 'PTRN', 0, 'RW', 2429]
[(1, 2, 0, 0, 3, 3), 4.805078029632568, 'Switches:', 11756, 'NO:', 2592, 'SO:', 7228, 'PLT', 0, 'PTRN', 0, 'RW', 968]
[(1, 2, 0, 0, 3, 4), 1.9061589241027832, 'Switches:', 4559, 'NO:', 984, 'SO:', 2861, 'PLT', 0, 'PTRN', 0, 'RW', 357]
[(1, 2, 0, 0, 3, 5), 2.4474942684173584, 'Switches:', 6399, 'NO:', 1393, 'SO:', 3966, 'PLT', 0, 'PTRN', 0, 'RW', 520]
[(1, 2, 0, 0, 3, 6), 8.16866683959961, 'Switches:', 21091, 'NO:', 4505, 'SO:', 13168, 'PLT', 0, 'PTRN', 0, 'RW', 1709]
[(1, 2, 0, 0, 3, 7), 4.405740976333618, 'Switches:', 11843, 'NO:', 2638, 'SO:', 7257, 'PLT', 0, 'PTRN', 0, 'RW', 974]
[(1, 2, 0, 0, 3, 8), 8.031491994857788, 'Switches:', 20672, 'NO:', 4401, 'SO:', 12913, 'PLT', 0, 'PTRN', 0, 'RW', 1679]
