[(0, 35, 0), 0.005320310592651367, 'SF:', 123, 'SB:', 76]
[(0, 35, 1), 0.0030329227447509766, 'SF:', 113, 'SB:', 66]
[(0, 35, 2), 0.005706071853637695, 'SF:', 220, 'SB:', 173]
[(0, 35, 3), 0.004405975341796875, 'SF:', 134, 'SB:', 87]
[(0, 35, 4), 0.0032682418823242188, 'SF:', 133, 'SB:', 86]
[(0, 35, 5), 0.010525941848754883, 'SF:', 294, 'SB:', 247]
[(0, 35, 6), 0.007071018218994141, 'SF:', 215, 'SB:', 168]
[(0, 35, 7), 0.002964019775390625, 'SF:', 109, 'SB:', 62]
[(0, 35, 8), 0.006285905838012695, 'SF:', 184, 'SB:', 137]
[(0, 35, 9), 0.0033969879150390625, 'SF:', 126, 'SB:', 79]
[(1, 35, 0), 0.04474377632141113, 'SF:', 123, 'SB:', 76]
[(1, 35, 1), 0.028005123138427734, 'SF:', 113, 'SB:', 66]
[(1, 35, 2), 0.06947922706604004, 'SF:', 220, 'SB:', 173]
[(1, 35, 3), 0.05319094657897949, 'SF:', 134, 'SB:', 87]
[(1, 35, 4), 0.04694199562072754, 'SF:', 133, 'SB:', 86]
[(1, 35, 5), 0.11623406410217285, 'SF:', 294, 'SB:', 247]
[(1, 35, 6), 0.09007406234741211, 'SF:', 215, 'SB:', 168]
[(1, 35, 7), 0.031073808670043945, 'SF:', 109, 'SB:', 62]
[(1, 35, 8), 0.08893108367919922, 'SF:', 184, 'SB:', 137]
[(1, 35, 9), 0.03570890426635742, 'SF:', 126, 'SB:', 79]
[(2, 35, 0), 0.018815040588378906, 'SF:', 47, 'SB:', 0]
[(2, 35, 1), 0.018455028533935547, 'SF:', 47, 'SB:', 0]
[(2, 35, 2), 0.019237041473388672, 'SF:', 47, 'SB:', 0]
[(2, 35, 3), 0.018524169921875, 'SF:', 47, 'SB:', 0]
[(2, 35, 4), 0.018899917602539062, 'SF:', 47, 'SB:', 0]
[(2, 35, 5), 0.018823862075805664, 'SF:', 47, 'SB:', 0]
[(2, 35, 6), 0.017652034759521484, 'SF:', 47, 'SB:', 0]
