[35, 0, 0, 0.004853963851928711, 'SF:', 123, 'SB:', 76]
[35, 0, 1, 0.05118989944458008, 'SF:', 123, 'SB:', 76]
[35, 0, 2, 0.019012928009033203, 'SF:', 47, 'SB:', 0]
[35, 1, 0, 0.0025947093963623047, 'SF:', 113, 'SB:', 66]
[35, 1, 1, 0.027457237243652344, 'SF:', 113, 'SB:', 66]
[35, 1, 2, 0.01815199851989746, 'SF:', 47, 'SB:', 0]
[35, 2, 0, 0.0054209232330322266, 'SF:', 220, 'SB:', 173]
[35, 2, 1, 0.06446003913879395, 'SF:', 220, 'SB:', 173]
[35, 2, 2, 0.0184478759765625, 'SF:', 47, 'SB:', 0]
[35, 3, 0, 0.004239797592163086, 'SF:', 134, 'SB:', 87]
[35, 3, 1, 0.04659676551818848, 'SF:', 134, 'SB:', 87]
[35, 3, 2, 0.018713951110839844, 'SF:', 47, 'SB:', 0]
[35, 4, 0, 0.004052877426147461, 'SF:', 133, 'SB:', 86]
[35, 4, 1, 0.040370941162109375, 'SF:', 133, 'SB:', 86]
[35, 4, 2, 0.018989086151123047, 'SF:', 47, 'SB:', 0]
[35, 5, 0, 0.009137868881225586, 'SF:', 294, 'SB:', 247]
[35, 5, 1, 0.1103971004486084, 'SF:', 294, 'SB:', 247]
[35, 5, 2, 0.01811814308166504, 'SF:', 47, 'SB:', 0]
[35, 6, 0, 0.0069692134857177734, 'SF:', 215, 'SB:', 168]
[35, 6, 1, 0.08171796798706055, 'SF:', 215, 'SB:', 168]
[35, 6, 2, 0.01764988899230957, 'SF:', 47, 'SB:', 0]
[35, 7, 0, 0.002608776092529297, 'SF:', 109, 'SB:', 62]
[35, 7, 1, 0.02938389778137207, 'SF:', 109, 'SB:', 62]
[35, 7, 2, 0.019017934799194336, 'SF:', 47, 'SB:', 0]
[35, 8, 0, 0.007426023483276367, 'SF:', 184, 'SB:', 137]
[35, 8, 1, 0.08230900764465332, 'SF:', 184, 'SB:', 137]
