[35, 0, 0, 0.004853963851928711, 'SF:', 123, 'SB:', 76]
[35, 1, 0, 0.0025947093963623047, 'SF:', 113, 'SB:', 66]
[35, 2, 0, 0.0054209232330322266, 'SF:', 220, 'SB:', 173]
[35, 3, 0, 0.004239797592163086, 'SF:', 134, 'SB:', 87]
[35, 4, 0, 0.004052877426147461, 'SF:', 133, 'SB:', 86]
[35, 5, 0, 0.009137868881225586, 'SF:', 294, 'SB:', 247]
[35, 6, 0, 0.0069692134857177734, 'SF:', 215, 'SB:', 168]
[35, 7, 0, 0.002608776092529297, 'SF:', 109, 'SB:', 62]
[35, 8, 0, 0.007426023483276367, 'SF:', 184, 'SB:', 137]
[35, 9, 0, 0.0030689239501953125, 'SF:', 126, 'SB:', 79]
[34, 0, 0, 0.009161949157714844, 'SF:', 270, 'SB:', 222]
[34, 1, 0, 0.010262012481689453, 'SF:', 265, 'SB:', 217]
[34, 2, 0, 0.012661933898925781, 'SF:', 402, 'SB:', 354]
[34, 3, 0, 0.003571748733520508, 'SF:', 135, 'SB:', 87]
[34, 4, 0, 0.0021271705627441406, 'SF:', 88, 'SB:', 40]
[34, 5, 0, 0.0030128955841064453, 'SF:', 117, 'SB:', 69]
[34, 6, 0, 0.0027272701263427734, 'SF:', 112, 'SB:', 64]
[34, 7, 0, 0.0026810169219970703, 'SF:', 113, 'SB:', 65]
[34, 8, 0, 0.002213716506958008, 'SF:', 94, 'SB:', 46]
[34, 9, 0, 0.0034942626953125, 'SF:', 141, 'SB:', 93]
[33, 0, 0, 0.0036497116088867188, 'SF:', 132, 'SB:', 83]
[33, 1, 0, 0.007051229476928711, 'SF:', 211, 'SB:', 162]
[33, 2, 0, 0.006735086441040039, 'SF:', 217, 'SB:', 168]
[33, 3, 0, 0.0028569698333740234, 'SF:', 112, 'SB:', 63]
[33, 4, 0, 0.00736689567565918, 'SF:', 227, 'SB:', 178]
[33, 5, 0, 0.002585887908935547, 'SF:', 100, 'SB:', 51]
[33, 6, 0, 0.006927967071533203, 'SF:', 226, 'SB:', 177]
[33, 7, 0, 0.002953052520751953, 'SF:', 101, 'SB:', 52]
[33, 8, 0, 0.007462978363037109, 'SF:', 231, 'SB:', 182]
[33, 9, 0, 0.013885974884033203, 'SF:', 361, 'SB:', 312]
[32, 0, 0, 0.0031180381774902344, 'SF:', 121, 'SB:', 71]
[32, 1, 0, 0.012580156326293945, 'SF:', 348, 'SB:', 298]
[32, 2, 0, 0.01009511947631836, 'SF:', 272, 'SB:', 222]
[32, 3, 0, 0.011864185333251953, 'SF:', 275, 'SB:', 225]
[32, 4, 0, 0.06095695495605469, 'SF:', 1473, 'SB:', 1423]
[32, 5, 0, 0.011704206466674805, 'SF:', 336, 'SB:', 286]
[32, 6, 0, 0.004102945327758789, 'SF:', 147, 'SB:', 97]
[32, 7, 0, 0.014073848724365234, 'SF:', 344, 'SB:', 294]
[32, 8, 0, 0.031272172927856445, 'SF:', 848, 'SB:', 798]
[32, 9, 0, 0.044434309005737305, 'SF:', 898, 'SB:', 848]
[31, 0, 0, 0.003543853759765625, 'SF:', 117, 'SB:', 66]
[31, 1, 0, 0.018096923828125, 'SF:', 491, 'SB:', 440]
[31, 2, 0, 1.1414458751678467, 'SF:', 29700, 'SB:', 29649]
[31, 3, 0, 0.009293079376220703, 'SF:', 335, 'SB:', 284]
[31, 4, 0, 0.04545712471008301, 'SF:', 1085, 'SB:', 1034]
[31, 5, 0, 0.26068806648254395, 'SF:', 7343, 'SB:', 7292]
[31, 6, 0, 0.06660723686218262, 'SF:', 2052, 'SB:', 2001]
