[(5, 5, 0, 0, 0, 1), 2.1815807819366455, 'Switches:', 5078, 'NO:', 604, 'SO:', 8416, 'PLT', 0, 'PTRN', 0, 'RW', 291]
[(5, 5, 0, 0, 0, 2), 0.1922166347503662, 'Switches:', 557, 'NO:', 77, 'SO:', 776, 'PLT', 0, 'PTRN', 0, 'RW', 24]
[(5, 5, 0, 0, 0, 3), 1.3653740882873535, 'Switches:', 3530, 'NO:', 429, 'SO:', 5863, 'PLT', 0, 'PTRN', 0, 'RW', 199]
[(5, 5, 0, 0, 1, 1), 0.9055109024047852, 'Switches:', 2332, 'NO:', 257, 'SO:', 3637, 'PLT', 0, 'PTRN', 0, 'RW', 120]
[(5, 5, 0, 0, 1, 2), 1.010059118270874, 'Switches:', 2776, 'NO:', 305, 'SO:', 4039, 'PLT', 0, 'PTRN', 0, 'RW', 130]
[(5, 5, 0, 0, 1, 3), 1.2839999198913574, 'Switches:', 3618, 'NO:', 392, 'SO:', 4896, 'PLT', 0, 'PTRN', 0, 'RW', 169]
[(5, 5, 0, 0, 2, 1), 4.021633863449097, 'Switches:', 10999, 'NO:', 1186, 'SO:', 14511, 'PLT', 0, 'PTRN', 0, 'RW', 472]
[(5, 5, 0, 0, 2, 2), 2.6326489448547363, 'Switches:', 7447, 'NO:', 817, 'SO:', 9266, 'PLT', 0, 'PTRN', 0, 'RW', 325]
[(5, 5, 0, 0, 2, 3), 39.91620922088623, 'Switches:', 109593, 'NO:', 11894, 'SO:', 144544, 'PLT', 0, 'PTRN', 0, 'RW', 4938]
[(5, 5, 0, 0, 3, 1), 3.5755388736724854, 'Switches:', 11335, 'NO:', 1069, 'SO:', 13443, 'PLT', 0, 'PTRN', 0, 'RW', 456]
[(5, 5, 0, 0, 3, 2), 0.22824907302856445, 'Switches:', 726, 'NO:', 71, 'SO:', 802, 'PLT', 0, 'PTRN', 0, 'RW', 23]
[(5, 5, 0, 0, 3, 3), 3.262387990951538, 'Switches:', 9339, 'NO:', 974, 'SO:', 12958, 'PLT', 0, 'PTRN', 0, 'RW', 452]
[(5, 5, 0, 0, 4, 1), 0.05726909637451172, 'Switches:', 168, 'NO:', 30, 'SO:', 250, 'PLT', 0, 'PTRN', 0, 'RW', 7]
[(5, 5, 0, 0, 4, 2), 0.05703401565551758, 'Switches:', 227, 'NO:', 24, 'SO:', 206, 'PLT', 0, 'PTRN', 0, 'RW', 6]
[(5, 5, 0, 0, 4, 3), 0.03556704521179199, 'Switches:', 133, 'NO:', 29, 'SO:', 129, 'PLT', 0, 'PTRN', 0, 'RW', 3]
[(6, 5, 0, 0, 0, 1), 1.3290979862213135, 'Switches:', 3551, 'NO:', 419, 'SO:', 5491, 'PLT', 0, 'PTRN', 0, 'RW', 188]
[(6, 5, 0, 0, 0, 2), 1.366727352142334, 'Switches:', 4087, 'NO:', 438, 'SO:', 5309, 'PLT', 0, 'PTRN', 0, 'RW', 184]
[(6, 5, 0, 0, 0, 3), 0.2639961242675781, 'Switches:', 689, 'NO:', 74, 'SO:', 1135, 'PLT', 0, 'PTRN', 0, 'RW', 37]
[(6, 5, 0, 0, 1, 1), 0.3222007751464844, 'Switches:', 975, 'NO:', 112, 'SO:', 1154, 'PLT', 0, 'PTRN', 0, 'RW', 37]
[(6, 5, 0, 0, 1, 2), 0.7353441715240479, 'Switches:', 1878, 'NO:', 231, 'SO:', 3061, 'PLT', 0, 'PTRN', 0, 'RW', 102]
[(6, 5, 0, 0, 1, 3), 1.2813448905944824, 'Switches:', 3459, 'NO:', 375, 'SO:', 5035, 'PLT', 0, 'PTRN', 0, 'RW', 173]
[(6, 5, 0, 0, 2, 1), 17.319823265075684, 'Switches:', 48703, 'NO:', 5017, 'SO:', 61455, 'PLT', 0, 'PTRN', 0, 'RW', 2099]
