[(1, 2, 0, 0, 2, 1), 104.42394280433655, 'Switches:', 365301, 'NO:', 69016, 'SO:', 760611, 'PLT', 0, 'PTRN', 0, 'RW', 24679]
[(2, 2, 0, 0, 2, 1), 95.9146339893341, 'Switches:', 359144, 'NO:', 52603, 'SO:', 579140, 'PLT', 0, 'PTRN', 0, 'RW', 19043]
[(3, 2, 0, 0, 2, 1), 31.424015045166016, 'Switches:', 120884, 'NO:', 15689, 'SO:', 175427, 'PLT', 0, 'PTRN', 0, 'RW', 5799]
[(4, 2, 0, 0, 2, 1), 14.83346700668335, 'Switches:', 57332, 'NO:', 6912, 'SO:', 77863, 'PLT', 0, 'PTRN', 0, 'RW', 2564]
[(5, 2, 0, 0, 2, 1), 12.055261850357056, 'Switches:', 48405, 'NO:', 5440, 'SO:', 62235, 'PLT', 0, 'PTRN', 0, 'RW', 2044]
[(6, 2, 0, 0, 2, 1), 7.909319877624512, 'Switches:', 31517, 'NO:', 3567, 'SO:', 39865, 'PLT', 0, 'PTRN', 0, 'RW', 1348]
[(7, 2, 0, 0, 2, 1), 25.897300004959106, 'Switches:', 104186, 'NO:', 11303, 'SO:', 129252, 'PLT', 0, 'PTRN', 0, 'RW', 4299]
[(8, 2, 0, 0, 2, 1), 16.884780168533325, 'Switches:', 69042, 'NO:', 7355, 'SO:', 82925, 'PLT', 0, 'PTRN', 0, 'RW', 2774]
[(9, 2, 0, 0, 2, 1), 2.6109280586242676, 'Switches:', 10896, 'NO:', 1149, 'SO:', 12762, 'PLT', 0, 'PTRN', 0, 'RW', 431]
[(10, 2, 0, 0, 2, 1), 45.10750389099121, 'Switches:', 183927, 'NO:', 19308, 'SO:', 222065, 'PLT', 0, 'PTRN', 0, 'RW', 7397]
[(11, 2, 0, 0, 2, 1), 116.15113997459412, 'Switches:', 461260, 'NO:', 48296, 'SO:', 552847, 'PLT', 0, 'PTRN', 0, 'RW', 18500]
[(12, 2, 0, 0, 2, 1), 16.235567092895508, 'Switches:', 56555, 'NO:', 5985, 'SO:', 68915, 'PLT', 0, 'PTRN', 0, 'RW', 2292]
[(13, 2, 0, 0, 2, 1), 35.98817729949951, 'Switches:', 146814, 'NO:', 15092, 'SO:', 174332, 'PLT', 0, 'PTRN', 0, 'RW', 5784]
[(14, 2, 0, 0, 2, 1), 9.04004979133606, 'Switches:', 36968, 'NO:', 3824, 'SO:', 43314, 'PLT', 0, 'PTRN', 0, 'RW', 1453]
[(15, 2, 0, 0, 2, 1), 45.47870397567749, 'Switches:', 162272, 'NO:', 16634, 'SO:', 190697, 'PLT', 0, 'PTRN', 0, 'RW', 6378]
[(16, 2, 0, 0, 2, 1), 4.132915258407593, 'Switches:', 15796, 'NO:', 1643, 'SO:', 18758, 'PLT', 0, 'PTRN', 0, 'RW', 621]
[(17, 2, 0, 0, 2, 1), 52.402036905288696, 'Switches:', 186852, 'NO:', 18939, 'SO:', 218244, 'PLT', 0, 'PTRN', 0, 'RW', 7308]
[(18, 2, 0, 0, 2, 1), 169.57347512245178, 'Switches:', 668691, 'NO:', 66797, 'SO:', 766878, 'PLT', 0, 'PTRN', 0, 'RW', 25679]
[(19, 2, 0, 0, 2, 1), 10.416148900985718, 'Switches:', 43563, 'NO:', 4358, 'SO:', 48991, 'PLT', 0, 'PTRN', 0, 'RW', 1668]
[(20, 2, 0, 0, 2, 1), 6.149382829666138, 'Switches:', 26287, 'NO:', 2564, 'SO:', 29861, 'PLT', 0, 'PTRN', 0, 'RW', 976]
[(1, 2, 0, 0, 2, 2), 12.660951852798462, 'Switches:', 39897, 'NO:', 7556, 'SO:', 83999, 'PLT', 0, 'PTRN', 0, 'RW', 2669]
[(2, 2, 0, 0, 2, 2), 59.68170189857483, 'Switches:', 223645, 'NO:', 32585, 'SO:', 361358, 'PLT', 0, 'PTRN', 0, 'RW', 11889]
[(3, 2, 0, 0, 2, 2), 0.09659171104431152, 'Switches:', 373, 'NO:', 62, 'SO:', 520, 'PLT', 0, 'PTRN', 0, 'RW', 17]
[(4, 2, 0, 0, 2, 2), 6.692983627319336, 'Switches:', 23317, 'NO:', 2826, 'SO:', 31831, 'PLT', 0, 'PTRN', 0, 'RW', 1036]
[(5, 2, 0, 0, 2, 2), 12.034108877182007, 'Switches:', 43546, 'NO:', 4912, 'SO:', 55678, 'PLT', 0, 'PTRN', 0, 'RW', 1836]
[(6, 2, 0, 0, 2, 2), 190.04924702644348, 'Switches:', 719475, 'NO:', 80541, 'SO:', 915028, 'PLT', 0, 'PTRN', 0, 'RW', 30463]
[(7, 2, 0, 0, 2, 2), 29.040481090545654, 'Switches:', 100829, 'NO:', 11016, 'SO:', 124882, 'PLT', 0, 'PTRN', 0, 'RW', 4176]
[(8, 2, 0, 0, 2, 2), 87.33477306365967, 'Switches:', 309640, 'NO:', 32974, 'SO:', 376051, 'PLT', 0, 'PTRN', 0, 'RW', 12520]
[(9, 2, 0, 0, 2, 2), 83.14329290390015, 'Switches:', 315741, 'NO:', 33568, 'SO:', 382528, 'PLT', 0, 'PTRN', 0, 'RW', 12800]
