[(1, 2, 0, 0, 0, 1), 1.5800700187683105, 'Switches:', 5122, 'NO:', 1047, 'SO:', 11377, 'PLT', 0, 'PTRN', 0, 'RW', 365]
[(1, 2, 0, 0, 0, 2), 3.3272812366485596, 'Switches:', 10984, 'NO:', 2162, 'SO:', 24355, 'PLT', 0, 'PTRN', 0, 'RW', 790]
[(1, 2, 0, 0, 0, 3), 0.4041287899017334, 'Switches:', 1421, 'NO:', 295, 'SO:', 3033, 'PLT', 0, 'PTRN', 0, 'RW', 98]
[(1, 2, 0, 0, 0, 4), 7.477797985076904, 'Switches:', 24682, 'NO:', 5000, 'SO:', 56088, 'PLT', 0, 'PTRN', 0, 'RW', 1834]
[(1, 2, 0, 0, 0, 5), 1.3560121059417725, 'Switches:', 4239, 'NO:', 884, 'SO:', 9815, 'PLT', 0, 'PTRN', 0, 'RW', 318]
[(1, 2, 0, 0, 0, 6), 0.6457281112670898, 'Switches:', 2227, 'NO:', 444, 'SO:', 4788, 'PLT', 0, 'PTRN', 0, 'RW', 154]
[(1, 2, 0, 0, 0, 7), 2.5503242015838623, 'Switches:', 8025, 'NO:', 1594, 'SO:', 18154, 'PLT', 0, 'PTRN', 0, 'RW', 603]
[(1, 2, 0, 0, 0, 8), 1.9662792682647705, 'Switches:', 5823, 'NO:', 1206, 'SO:', 13678, 'PLT', 0, 'PTRN', 0, 'RW', 434]
[(1, 2, 0, 0, 0, 9), 1.0634081363677979, 'Switches:', 3596, 'NO:', 783, 'SO:', 8005, 'PLT', 0, 'PTRN', 0, 'RW', 257]
[(1, 2, 0, 0, 0, 10), 11.083306074142456, 'Switches:', 35359, 'NO:', 7246, 'SO:', 80634, 'PLT', 0, 'PTRN', 0, 'RW', 2661]
[(1, 2, 0, 0, 1, 1), 2.2759180068969727, 'Switches:', 8001, 'NO:', 1515, 'SO:', 15928, 'PLT', 0, 'PTRN', 0, 'RW', 532]
[(1, 2, 0, 0, 1, 2), 22.434720993041992, 'Switches:', 77562, 'NO:', 14715, 'SO:', 159068, 'PLT', 0, 'PTRN', 0, 'RW', 5196]
[(1, 2, 0, 0, 1, 3), 11.062774181365967, 'Switches:', 39205, 'NO:', 7360, 'SO:', 80484, 'PLT', 0, 'PTRN', 0, 'RW', 2612]
[(1, 2, 0, 0, 1, 4), 26.971898078918457, 'Switches:', 103407, 'NO:', 19175, 'SO:', 210966, 'PLT', 0, 'PTRN', 0, 'RW', 6893]
[(1, 2, 0, 0, 1, 5), 15.020787000656128, 'Switches:', 49245, 'NO:', 9184, 'SO:', 100865, 'PLT', 0, 'PTRN', 0, 'RW', 3288]
[(1, 2, 0, 0, 1, 6), 12.7481050491333, 'Switches:', 47551, 'NO:', 8913, 'SO:', 97190, 'PLT', 0, 'PTRN', 0, 'RW', 3159]
[(1, 2, 0, 0, 1, 7), 4.204385042190552, 'Switches:', 15835, 'NO:', 2957, 'SO:', 32419, 'PLT', 0, 'PTRN', 0, 'RW', 1043]
[(1, 2, 0, 0, 1, 8), 2.2765419483184814, 'Switches:', 8564, 'NO:', 1600, 'SO:', 17401, 'PLT', 0, 'PTRN', 0, 'RW', 562]
[(1, 2, 0, 0, 1, 9), 4.0141589641571045, 'Switches:', 15481, 'NO:', 2949, 'SO:', 31166, 'PLT', 0, 'PTRN', 0, 'RW', 1013]
[(1, 2, 0, 0, 1, 10), 28.22711706161499, 'Switches:', 98755, 'NO:', 18348, 'SO:', 201664, 'PLT', 0, 'PTRN', 0, 'RW', 6565]
