[(14, 1, 0, 0, 0, 1), 1.6934211254119873, 'Switches:', 3658, 'NO:', 461, 'SO:', 9283, 'PLT', 0, 'PTRN', 0, 'RW', 335]
[(14, 1, 0, 0, 0, 2), 0.6120390892028809, 'Switches:', 1474, 'NO:', 192, 'SO:', 3416, 'PLT', 0, 'PTRN', 0, 'RW', 117]
[(14, 1, 0, 0, 0, 3), 0.09589385986328125, 'Switches:', 371, 'NO:', 32, 'SO:', 446, 'PLT', 0, 'PTRN', 0, 'RW', 12]
[(14, 1, 0, 0, 0, 4), 0.3367280960083008, 'Switches:', 827, 'NO:', 106, 'SO:', 1845, 'PLT', 0, 'PTRN', 0, 'RW', 70]
[(14, 1, 0, 0, 0, 5), 2.17716908454895, 'Switches:', 5299, 'NO:', 612, 'SO:', 12689, 'PLT', 0, 'PTRN', 0, 'RW', 448]
[(14, 1, 0, 0, 0, 6), 0.8240242004394531, 'Switches:', 2599, 'NO:', 244, 'SO:', 4607, 'PLT', 0, 'PTRN', 0, 'RW', 176]
[(14, 1, 0, 0, 0, 7), 0.6251649856567383, 'Switches:', 1739, 'NO:', 187, 'SO:', 3545, 'PLT', 0, 'PTRN', 0, 'RW', 118]
[(14, 1, 0, 0, 0, 8), 0.33957815170288086, 'Switches:', 1094, 'NO:', 99, 'SO:', 1853, 'PLT', 0, 'PTRN', 0, 'RW', 61]
[(14, 1, 0, 0, 0, 9), 0.8814969062805176, 'Switches:', 2498, 'NO:', 254, 'SO:', 4895, 'PLT', 0, 'PTRN', 0, 'RW', 168]
[(14, 1, 0, 0, 0, 10), 0.10689496994018555, 'Switches:', 379, 'NO:', 38, 'SO:', 520, 'PLT', 0, 'PTRN', 0, 'RW', 18]
[(14, 1, 0, 0, 1, 1), 0.45964980125427246, 'Switches:', 1341, 'NO:', 129, 'SO:', 2444, 'PLT', 0, 'PTRN', 0, 'RW', 87]
[(14, 1, 0, 0, 1, 2), 4.523230791091919, 'Switches:', 13149, 'NO:', 1208, 'SO:', 24740, 'PLT', 0, 'PTRN', 0, 'RW', 869]
[(14, 1, 0, 0, 1, 3), 0.11428499221801758, 'Switches:', 532, 'NO:', 45, 'SO:', 562, 'PLT', 0, 'PTRN', 0, 'RW', 18]
[(14, 1, 0, 0, 1, 4), 1.0245239734649658, 'Switches:', 3383, 'NO:', 277, 'SO:', 5598, 'PLT', 0, 'PTRN', 0, 'RW', 200]
[(14, 1, 0, 0, 1, 5), 1.2535490989685059, 'Switches:', 3582, 'NO:', 341, 'SO:', 7058, 'PLT', 0, 'PTRN', 0, 'RW', 249]
[(14, 1, 0, 0, 1, 6), 0.4948091506958008, 'Switches:', 1517, 'NO:', 156, 'SO:', 2785, 'PLT', 0, 'PTRN', 0, 'RW', 104]
[(14, 1, 0, 0, 1, 7), 0.9883949756622314, 'Switches:', 3339, 'NO:', 284, 'SO:', 5372, 'PLT', 0, 'PTRN', 0, 'RW', 193]
[(14, 1, 0, 0, 1, 8), 4.360809803009033, 'Switches:', 12815, 'NO:', 1164, 'SO:', 23572, 'PLT', 0, 'PTRN', 0, 'RW', 819]
[(14, 1, 0, 0, 1, 9), 0.6040880680084229, 'Switches:', 1649, 'NO:', 168, 'SO:', 3270, 'PLT', 0, 'PTRN', 0, 'RW', 115]
[(14, 1, 0, 0, 1, 10), 1.6389038562774658, 'Switches:', 4845, 'NO:', 463, 'SO:', 8468, 'PLT', 0, 'PTRN', 0, 'RW', 316]
[(14, 1, 0, 0, 3, 1), 2.137888193130493, 'Switches:', 6850, 'NO:', 521, 'SO:', 10785, 'PLT', 0, 'PTRN', 0, 'RW', 367]
[(14, 1, 0, 0, 3, 2), 2.7987828254699707, 'Switches:', 8253, 'NO:', 682, 'SO:', 14348, 'PLT', 0, 'PTRN', 0, 'RW', 497]
[(14, 1, 0, 0, 3, 3), 0.22287607192993164, 'Switches:', 602, 'NO:', 74, 'SO:', 1168, 'PLT', 0, 'PTRN', 0, 'RW', 40]
[(14, 1, 0, 0, 3, 4), 0.7526490688323975, 'Switches:', 2658, 'NO:', 216, 'SO:', 3938, 'PLT', 0, 'PTRN', 0, 'RW', 137]
[(14, 1, 0, 0, 3, 5), 2.4087109565734863, 'Switches:', 7959, 'NO:', 635, 'SO:', 12920, 'PLT', 0, 'PTRN', 0, 'RW', 465]
[(14, 1, 0, 0, 3, 6), 1.2152669429779053, 'Switches:', 4303, 'NO:', 349, 'SO:', 6598, 'PLT', 0, 'PTRN', 0, 'RW', 241]
[(14, 1, 0, 0, 3, 7), 0.8952732086181641, 'Switches:', 3342, 'NO:', 231, 'SO:', 4719, 'PLT', 0, 'PTRN', 0, 'RW', 160]
[(14, 1, 0, 0, 3, 8), 1.0083589553833008, 'Switches:', 3206, 'NO:', 263, 'SO:', 5529, 'PLT', 0, 'PTRN', 0, 'RW', 189]
[(14, 1, 0, 0, 3, 9), 0.44086289405822754, 'Switches:', 1891, 'NO:', 120, 'SO:', 2176, 'PLT', 0, 'PTRN', 0, 'RW', 75]
[(14, 1, 0, 0, 3, 10), 2.224923849105835, 'Switches:', 7432, 'NO:', 615, 'SO:', 12304, 'PLT', 0, 'PTRN', 0, 'RW', 436]
[(14, 1, 0, 0, 4, 1), 0.06312918663024902, 'Switches:', 214, 'NO:', 34, 'SO:', 362, 'PLT', 0, 'PTRN', 0, 'RW', 13]
[(14, 1, 0, 0, 4, 2), 0.04368090629577637, 'Switches:', 128, 'NO:', 23, 'SO:', 272, 'PLT', 0, 'PTRN', 0, 'RW', 8]
[(14, 1, 0, 0, 4, 3), 0.04397892951965332, 'Switches:', 180, 'NO:', 28, 'SO:', 203, 'PLT', 0, 'PTRN', 0, 'RW', 7]
