[(10, 1, 0, 0, 2, 1), 18.94082999229431, 'Switches:', 53110, 'NO:', 4890, 'SO:', 96049, 'PLT', 0, 'PTRN', 0, 'RW', 3409]
[(10, 1, 0, 0, 2, 2), 18.208476066589355, 'Switches:', 53188, 'NO:', 4873, 'SO:', 95072, 'PLT', 0, 'PTRN', 0, 'RW', 3420]
[(10, 1, 0, 0, 2, 3), 32.84458923339844, 'Switches:', 94109, 'NO:', 8614, 'SO:', 171256, 'PLT', 0, 'PTRN', 0, 'RW', 6153]
[(10, 1, 0, 0, 2, 4), 4.04775595664978, 'Switches:', 11823, 'NO:', 1068, 'SO:', 20874, 'PLT', 0, 'PTRN', 0, 'RW', 742]
[(10, 1, 0, 0, 2, 5), 6.071035146713257, 'Switches:', 17552, 'NO:', 1571, 'SO:', 31822, 'PLT', 0, 'PTRN', 0, 'RW', 1117]
[(10, 1, 0, 0, 2, 6), 5.584195852279663, 'Switches:', 16794, 'NO:', 1495, 'SO:', 28855, 'PLT', 0, 'PTRN', 0, 'RW', 1015]
[(10, 1, 0, 0, 2, 7), 4.442718982696533, 'Switches:', 12913, 'NO:', 1189, 'SO:', 23146, 'PLT', 0, 'PTRN', 0, 'RW', 832]
[(10, 1, 0, 0, 2, 8), 22.144389867782593, 'Switches:', 63627, 'NO:', 5777, 'SO:', 114595, 'PLT', 0, 'PTRN', 0, 'RW', 4107]
[(10, 1, 0, 0, 2, 9), 2.335681915283203, 'Switches:', 6861, 'NO:', 655, 'SO:', 12111, 'PLT', 0, 'PTRN', 0, 'RW', 435]
[(10, 1, 0, 0, 2, 10), 17.485780000686646, 'Switches:', 49498, 'NO:', 4534, 'SO:', 89849, 'PLT', 0, 'PTRN', 0, 'RW', 3217]
[(10, 1, 0, 1, 2, 1), 51.063225984573364, 'Switches:', 138238, 'NO:', 1, 'SO:', 271484, 'PLT', 0, 'PTRN', 122706, 'RW', 15531]
[(10, 1, 0, 1, 2, 2), 86.8506669998169, 'Switches:', 238063, 'NO:', 1, 'SO:', 465119, 'PLT', 0, 'PTRN', 211462, 'RW', 26600]
[(10, 1, 0, 1, 2, 3), 3.4840903282165527, 'Switches:', 9715, 'NO:', 1, 'SO:', 18767, 'PLT', 0, 'PTRN', 8626, 'RW', 1088]
[(10, 1, 0, 1, 2, 4), 1.1090197563171387, 'Switches:', 3178, 'NO:', 1, 'SO:', 6011, 'PLT', 0, 'PTRN', 2825, 'RW', 352]
[(10, 1, 0, 1, 2, 5), 1.0121078491210938, 'Switches:', 2719, 'NO:', 1, 'SO:', 5636, 'PLT', 0, 'PTRN', 2413, 'RW', 305]
[(10, 1, 0, 1, 2, 6), 81.97033619880676, 'Switches:', 226808, 'NO:', 1, 'SO:', 445557, 'PLT', 0, 'PTRN', 201499, 'RW', 25308]
[(10, 1, 0, 1, 2, 7), 17.46036195755005, 'Switches:', 47672, 'NO:', 1, 'SO:', 95497, 'PLT', 0, 'PTRN', 42236, 'RW', 5435]
