[(14, 1, 0, 1, 0, 1), 0.12948393821716309, 'Switches:', 389, 'NO:', 1, 'SO:', 735, 'PLT', 0, 'PTRN', 345, 'RW', 43]
[(14, 1, 0, 1, 0, 2), 0.19093823432922363, 'Switches:', 486, 'NO:', 1, 'SO:', 1157, 'PLT', 0, 'PTRN', 422, 'RW', 63]
[(14, 1, 0, 1, 0, 3), 2.0635898113250732, 'Switches:', 5582, 'NO:', 1, 'SO:', 12311, 'PLT', 0, 'PTRN', 4912, 'RW', 669]
[(14, 1, 0, 1, 0, 4), 1.674259901046753, 'Switches:', 4352, 'NO:', 1, 'SO:', 10280, 'PLT', 0, 'PTRN', 3804, 'RW', 547]
[(14, 1, 0, 1, 0, 5), 0.9009881019592285, 'Switches:', 2879, 'NO:', 1, 'SO:', 5094, 'PLT', 0, 'PTRN', 2569, 'RW', 309]
[(14, 1, 0, 1, 0, 6), 0.3700897693634033, 'Switches:', 996, 'NO:', 1, 'SO:', 2213, 'PLT', 0, 'PTRN', 873, 'RW', 122]
[(14, 1, 0, 1, 0, 7), 0.5029969215393066, 'Switches:', 1280, 'NO:', 1, 'SO:', 2771, 'PLT', 0, 'PTRN', 1116, 'RW', 163]
[(14, 1, 0, 1, 0, 8), 0.20769214630126953, 'Switches:', 542, 'NO:', 1, 'SO:', 1107, 'PLT', 0, 'PTRN', 478, 'RW', 63]
[(14, 1, 0, 1, 0, 9), 0.7373208999633789, 'Switches:', 1920, 'NO:', 1, 'SO:', 4511, 'PLT', 0, 'PTRN', 1673, 'RW', 246]
[(14, 1, 0, 1, 0, 10), 2.0406219959259033, 'Switches:', 5514, 'NO:', 1, 'SO:', 12234, 'PLT', 0, 'PTRN', 4837, 'RW', 676]
[(14, 1, 0, 1, 1, 1), 3.1967649459838867, 'Switches:', 9546, 'NO:', 1, 'SO:', 17488, 'PLT', 0, 'PTRN', 8515, 'RW', 1030]
[(14, 1, 0, 1, 1, 2), 2.0220181941986084, 'Switches:', 5949, 'NO:', 1, 'SO:', 11316, 'PLT', 0, 'PTRN', 5316, 'RW', 632]
[(14, 1, 0, 1, 1, 3), 0.43340301513671875, 'Switches:', 1350, 'NO:', 1, 'SO:', 2384, 'PLT', 0, 'PTRN', 1205, 'RW', 144]
[(14, 1, 0, 1, 1, 4), 0.2648329734802246, 'Switches:', 845, 'NO:', 1, 'SO:', 1449, 'PLT', 0, 'PTRN', 757, 'RW', 87]
[(14, 1, 0, 1, 1, 5), 0.48416686058044434, 'Switches:', 1414, 'NO:', 1, 'SO:', 2737, 'PLT', 0, 'PTRN', 1255, 'RW', 158]
[(14, 1, 0, 1, 1, 6), 8.677724123001099, 'Switches:', 24847, 'NO:', 1, 'SO:', 49116, 'PLT', 0, 'PTRN', 22036, 'RW', 2810]
[(14, 1, 0, 1, 1, 7), 0.43819499015808105, 'Switches:', 1343, 'NO:', 1, 'SO:', 2402, 'PLT', 0, 'PTRN', 1203, 'RW', 139]
[(14, 1, 0, 1, 1, 8), 6.31104302406311, 'Switches:', 18224, 'NO:', 1, 'SO:', 35262, 'PLT', 0, 'PTRN', 16206, 'RW', 2017]
[(14, 1, 0, 1, 1, 9), 0.1092228889465332, 'Switches:', 353, 'NO:', 1, 'SO:', 565, 'PLT', 0, 'PTRN', 315, 'RW', 37]
[(14, 1, 0, 1, 1, 10), 10.642477035522461, 'Switches:', 29965, 'NO:', 1, 'SO:', 59873, 'PLT', 0, 'PTRN', 26596, 'RW', 3368]
[(14, 1, 0, 1, 3, 1), 1.4745259284973145, 'Switches:', 4231, 'NO:', 1, 'SO:', 8254, 'PLT', 0, 'PTRN', 3766, 'RW', 464]
[(14, 1, 0, 1, 3, 2), 1.5445129871368408, 'Switches:', 4151, 'NO:', 1, 'SO:', 8848, 'PLT', 0, 'PTRN', 3667, 'RW', 483]
[(14, 1, 0, 1, 3, 3), 0.6131231784820557, 'Switches:', 1912, 'NO:', 1, 'SO:', 3450, 'PLT', 0, 'PTRN', 1700, 'RW', 211]
[(14, 1, 0, 1, 3, 4), 5.872391939163208, 'Switches:', 17052, 'NO:', 1, 'SO:', 32390, 'PLT', 0, 'PTRN', 15192, 'RW', 1859]
[(14, 1, 0, 1, 3, 5), 1.6899797916412354, 'Switches:', 4972, 'NO:', 1, 'SO:', 9399, 'PLT', 0, 'PTRN', 4438, 'RW', 533]
[(14, 1, 0, 1, 3, 6), 1.0493929386138916, 'Switches:', 3258, 'NO:', 1, 'SO:', 5870, 'PLT', 0, 'PTRN', 2923, 'RW', 334]
[(14, 1, 0, 1, 3, 7), 0.6222128868103027, 'Switches:', 2259, 'NO:', 1, 'SO:', 3181, 'PLT', 0, 'PTRN', 2048, 'RW', 210]
[(14, 1, 0, 1, 3, 8), 9.743910074234009, 'Switches:', 28067, 'NO:', 1, 'SO:', 55051, 'PLT', 0, 'PTRN', 24897, 'RW', 3169]
[(14, 1, 0, 1, 3, 9), 0.2340390682220459, 'Switches:', 667, 'NO:', 1, 'SO:', 1399, 'PLT', 0, 'PTRN', 583, 'RW', 83]
[(14, 1, 0, 1, 3, 10), 0.2857511043548584, 'Switches:', 842, 'NO:', 1, 'SO:', 1637, 'PLT', 0, 'PTRN', 749, 'RW', 92]
[(14, 1, 0, 1, 4, 1), 0.04227304458618164, 'Switches:', 107, 'NO:', 1, 'SO:', 303, 'PLT', 0, 'PTRN', 93, 'RW', 13]
[(14, 1, 0, 1, 4, 2), 0.0628049373626709, 'Switches:', 184, 'NO:', 1, 'SO:', 417, 'PLT', 0, 'PTRN', 163, 'RW', 20]
[(14, 1, 0, 1, 4, 3), 0.042402029037475586, 'Switches:', 142, 'NO:', 1, 'SO:', 264, 'PLT', 0, 'PTRN', 124, 'RW', 17]
[(14, 1, 0, 1, 4, 4), 0.06605005264282227, 'Switches:', 168, 'NO:', 1, 'SO:', 330, 'PLT', 0, 'PTRN', 149, 'RW', 18]
[(14, 1, 0, 1, 4, 5), 0.0260159969329834, 'Switches:', 99, 'NO:', 1, 'SO:', 127, 'PLT', 0, 'PTRN', 89, 'RW', 9]
[(14, 1, 0, 1, 4, 6), 0.0324559211730957, 'Switches:', 119, 'NO:', 1, 'SO:', 161, 'PLT', 0, 'PTRN', 107, 'RW', 11]
[(14, 1, 0, 1, 4, 7), 0.04703807830810547, 'Switches:', 185, 'NO:', 1, 'SO:', 260, 'PLT', 0, 'PTRN', 168, 'RW', 16]
[(14, 1, 0, 1, 4, 8), 0.026144981384277344, 'Switches:', 98, 'NO:', 1, 'SO:', 158, 'PLT', 0, 'PTRN', 89, 'RW', 8]
[(14, 1, 0, 1, 4, 9), 0.03988814353942871, 'Switches:', 114, 'NO:', 1, 'SO:', 257, 'PLT', 0, 'PTRN', 99, 'RW', 14]
[(14, 1, 0, 1, 4, 10), 0.06311297416687012, 'Switches:', 170, 'NO:', 1, 'SO:', 411, 'PLT', 0, 'PTRN', 152, 'RW', 17]
[(14, 1, 0, 2, 0, 1), 0.5826900005340576, 'Switches:', 1315, 'NO:', 133, 'SO:', 3562, 'PLT', 0, 'PTRN', 381, 'RW', 142]
[(14, 1, 0, 2, 0, 2), 1.2969090938568115, 'Switches:', 3484, 'NO:', 295, 'SO:', 7620, 'PLT', 0, 'PTRN', 1074, 'RW', 322]
[(14, 1, 0, 2, 0, 3), 0.33931803703308105, 'Switches:', 1005, 'NO:', 87, 'SO:', 1909, 'PLT', 0, 'PTRN', 312, 'RW', 83]
[(14, 1, 0, 2, 0, 4), 0.2963449954986572, 'Switches:', 863, 'NO:', 65, 'SO:', 1709, 'PLT', 0, 'PTRN', 271, 'RW', 70]
[(14, 1, 0, 2, 0, 5), 0.048254966735839844, 'Switches:', 193, 'NO:', 19, 'SO:', 244, 'PLT', 0, 'PTRN', 67, 'RW', 12]
[(14, 1, 0, 2, 0, 6), 1.0640599727630615, 'Switches:', 2617, 'NO:', 237, 'SO:', 6360, 'PLT', 0, 'PTRN', 754, 'RW', 258]
[(14, 1, 0, 2, 0, 7), 0.6520190238952637, 'Switches:', 1657, 'NO:', 160, 'SO:', 3781, 'PLT', 0, 'PTRN', 504, 'RW', 161]
[(14, 1, 0, 2, 0, 8), 1.1815721988677979, 'Switches:', 3192, 'NO:', 244, 'SO:', 6625, 'PLT', 0, 'PTRN', 1005, 'RW', 278]
[(14, 1, 0, 2, 0, 9), 0.457874059677124, 'Switches:', 1368, 'NO:', 102, 'SO:', 2638, 'PLT', 0, 'PTRN', 449, 'RW', 115]
[(14, 1, 0, 2, 0, 10), 0.16622495651245117, 'Switches:', 422, 'NO:', 48, 'SO:', 1018, 'PLT', 0, 'PTRN', 125, 'RW', 43]
[(14, 1, 0, 2, 1, 1), 1.8440361022949219, 'Switches:', 5126, 'NO:', 375, 'SO:', 10323, 'PLT', 0, 'PTRN', 1620, 'RW', 446]
[(14, 1, 0, 2, 1, 2), 10.245460033416748, 'Switches:', 28748, 'NO:', 2061, 'SO:', 56495, 'PLT', 0, 'PTRN', 8900, 'RW', 2428]
[(14, 1, 0, 2, 1, 3), 1.0941870212554932, 'Switches:', 2913, 'NO:', 231, 'SO:', 6178, 'PLT', 0, 'PTRN', 917, 'RW', 264]
[(14, 1, 0, 2, 1, 4), 0.259387731552124, 'Switches:', 762, 'NO:', 55, 'SO:', 1470, 'PLT', 0, 'PTRN', 253, 'RW', 65]
[(14, 1, 0, 2, 1, 5), 2.686384916305542, 'Switches:', 7708, 'NO:', 540, 'SO:', 14821, 'PLT', 0, 'PTRN', 2402, 'RW', 627]
[(14, 1, 0, 2, 1, 6), 3.6492748260498047, 'Switches:', 10133, 'NO:', 740, 'SO:', 20222, 'PLT', 0, 'PTRN', 3167, 'RW', 863]
[(14, 1, 0, 2, 1, 7), 2.2439448833465576, 'Switches:', 5992, 'NO:', 465, 'SO:', 12622, 'PLT', 0, 'PTRN', 1833, 'RW', 536]
[(14, 1, 0, 2, 1, 8), 7.369159936904907, 'Switches:', 20583, 'NO:', 1481, 'SO:', 40308, 'PLT', 0, 'PTRN', 6314, 'RW', 1714]
[(14, 1, 0, 2, 1, 9), 3.133709192276001, 'Switches:', 9114, 'NO:', 611, 'SO:', 17143, 'PLT', 0, 'PTRN', 2872, 'RW', 726]
[(14, 1, 0, 2, 1, 10), 0.8385767936706543, 'Switches:', 2392, 'NO:', 179, 'SO:', 4662, 'PLT', 0, 'PTRN', 760, 'RW', 206]
[(14, 1, 0, 2, 3, 1), 5.206044912338257, 'Switches:', 13954, 'NO:', 1058, 'SO:', 29774, 'PLT', 0, 'PTRN', 4313, 'RW', 1247]
[(14, 1, 0, 2, 3, 2), 2.582303047180176, 'Switches:', 6963, 'NO:', 511, 'SO:', 14533, 'PLT', 0, 'PTRN', 2196, 'RW', 607]
[(14, 1, 0, 2, 3, 3), 0.5048160552978516, 'Switches:', 1410, 'NO:', 103, 'SO:', 2934, 'PLT', 0, 'PTRN', 445, 'RW', 127]
[(14, 1, 0, 2, 3, 4), 2.135859966278076, 'Switches:', 5818, 'NO:', 412, 'SO:', 11968, 'PLT', 0, 'PTRN', 1775, 'RW', 508]
[(14, 1, 0, 2, 3, 5), 0.4143350124359131, 'Switches:', 1363, 'NO:', 97, 'SO:', 2141, 'PLT', 0, 'PTRN', 447, 'RW', 100]
[(14, 1, 0, 2, 3, 6), 5.5958592891693115, 'Switches:', 15763, 'NO:', 1161, 'SO:', 31214, 'PLT', 0, 'PTRN', 4890, 'RW', 1351]
[(14, 1, 0, 2, 3, 7), 4.749735116958618, 'Switches:', 13874, 'NO:', 997, 'SO:', 26427, 'PLT', 0, 'PTRN', 4381, 'RW', 1145]
[(14, 1, 0, 2, 3, 8), 3.622713088989258, 'Switches:', 10504, 'NO:', 756, 'SO:', 19995, 'PLT', 0, 'PTRN', 3290, 'RW', 874]
[(14, 1, 0, 2, 3, 9), 0.37935686111450195, 'Switches:', 1177, 'NO:', 88, 'SO:', 2085, 'PLT', 0, 'PTRN', 386, 'RW', 88]
[(14, 1, 0, 2, 3, 10), 2.386258840560913, 'Switches:', 6642, 'NO:', 474, 'SO:', 12956, 'PLT', 0, 'PTRN', 2100, 'RW', 554]
[(14, 1, 0, 2, 4, 1), 0.022025108337402344, 'Switches:', 72, 'NO:', 15, 'SO:', 122, 'PLT', 0, 'PTRN', 19, 'RW', 4]
[(14, 1, 0, 2, 4, 2), 0.04258108139038086, 'Switches:', 125, 'NO:', 19, 'SO:', 257, 'PLT', 0, 'PTRN', 39, 'RW', 11]
[(14, 1, 0, 2, 4, 3), 0.021181821823120117, 'Switches:', 99, 'NO:', 11, 'SO:', 102, 'PLT', 0, 'PTRN', 37, 'RW', 5]
[(14, 1, 0, 2, 4, 4), 0.0586848258972168, 'Switches:', 185, 'NO:', 23, 'SO:', 371, 'PLT', 0, 'PTRN', 54, 'RW', 16]
