[(10, 1, 0, 8, 0, 1), 0.45672106742858887, 'Switches:', 1143, 'NO:', 119, 'SO:', 2366, 'PLT', 0, 'PTRN', 21, 'RW', 87]
[(10, 1, 0, 8, 0, 2), 0.43743014335632324, 'Switches:', 1117, 'NO:', 134, 'SO:', 2424, 'PLT', 0, 'PTRN', 13, 'RW', 87]
[(10, 1, 0, 8, 0, 3), 0.37720203399658203, 'Switches:', 1066, 'NO:', 114, 'SO:', 2103, 'PLT', 0, 'PTRN', 15, 'RW', 77]
[(10, 1, 0, 8, 0, 4), 1.582977056503296, 'Switches:', 4066, 'NO:', 437, 'SO:', 8732, 'PLT', 0, 'PTRN', 71, 'RW', 308]
[(10, 1, 0, 8, 0, 5), 1.0306129455566406, 'Switches:', 2721, 'NO:', 273, 'SO:', 5168, 'PLT', 0, 'PTRN', 49, 'RW', 191]
[(10, 1, 0, 8, 0, 6), 0.24016380310058594, 'Switches:', 560, 'NO:', 80, 'SO:', 1379, 'PLT', 0, 'PTRN', 7, 'RW', 46]
[(10, 1, 0, 8, 0, 7), 0.566633939743042, 'Switches:', 1527, 'NO:', 167, 'SO:', 3036, 'PLT', 0, 'PTRN', 33, 'RW', 107]
[(10, 1, 0, 8, 0, 8), 0.3968508243560791, 'Switches:', 1245, 'NO:', 132, 'SO:', 2091, 'PLT', 0, 'PTRN', 17, 'RW', 81]
[(10, 1, 0, 8, 0, 9), 0.4002871513366699, 'Switches:', 1203, 'NO:', 112, 'SO:', 2053, 'PLT', 0, 'PTRN', 19, 'RW', 75]
[(10, 1, 0, 8, 0, 10), 1.6853599548339844, 'Switches:', 5211, 'NO:', 447, 'SO:', 9110, 'PLT', 0, 'PTRN', 102, 'RW', 339]
[(10, 1, 0, 8, 1, 1), 1.1849091053009033, 'Switches:', 3453, 'NO:', 277, 'SO:', 6004, 'PLT', 0, 'PTRN', 70, 'RW', 210]
[(10, 1, 0, 8, 1, 2), 1.5632169246673584, 'Switches:', 4286, 'NO:', 396, 'SO:', 7666, 'PLT', 0, 'PTRN', 75, 'RW', 269]
